dname,isco88_code_2dg,rti_score,offs_score
at13,31,-0.292395711,0.075538002
at13,41,2.410058022,0.622610986
at13,42,1.555783033,-0.055739999
at13,51,-0.497650087,-0.77658999
at13,52,0.147510603,-0.644398987
at13,61,-0.444030821,-0.699466288
at13,61,-0.491709709,-0.688006043
at13,71,-0.075297303,-0.773209989
at13,72,0.582644522,-0.26800999
at13,73,1.579696059,1.939013004
at13,74,1.07208097,1.050317883
at13,82,0.577062488,2.251911402
at13,82,0.619180918,2.65978694
at13,83,-1.417865038,-0.840810001
at13,91,0.142689198,-0.641499996
at13,92,0.380368501,-0.840810001
at13,93,0.574263811,-0.484329998
at95,11,-0.570638001,-0.418199986
at95,13,-1.445287943,-0.458799988
at95,21,-0.727476418,1.308184028
at95,22,-0.909958124,-0.589510024
at95,23,-1.465365052,-0.703190029
at95,24,-0.635716379,0.426382989
at95,31,-0.292395711,0.075538002
at95,32,-0.226255,-0.584529996
at95,34,-0.33859539,0.313463002
at95,41,2.410058022,0.622610986
at95,42,1.555783033,-0.055739999
at95,51,-0.497650087,-0.77658999
at95,52,0.169350505,-0.730080009
at95,61,0.144009098,-0.840810001
at95,71,-0.075297303,-0.773209989
at95,72,0.582644522,-0.26800999
at95,73,1.742398024,1.942178965
at95,74,1.382539034,1.406988025
at95,81,0.445600986,1.870820045
at95,82,0.619180918,2.65978694
at95,83,-1.417865038,-0.840810001
at95,91,0.142689198,-0.641499996
at95,92,0.380368501,-0.840810001
at95,93,0.574263811,-0.484329998
au81,22,-0.909958124,-0.589510024
au81,22,-0.636476874,-0.587517977
au81,32,-0.328378886,-0.538227201
au81,23,-1.433120728,-0.684840024
au81,24,-0.635716379,0.426382989
au81,31,-0.273498356,-0.11305286
au81,24,-0.611180842,0.612503231
au81,41,2.410058022,0.622610986
au81,41,2.196489334,0.453023225
au81,34,-0.33859539,0.313463002
au81,61,0.144009098,-0.840810001
au81,71,-0.138704032,-0.392694294
au81,31,-0.292395711,0.075538002
au81,83,-0.951998591,-0.162902474
au81,12,-0.650581717,-0.130879998
au81,83,-1.417865038,-0.840810001
au81,51,-0.497650087,-0.77658999
au81,31,0.617730796,0.158696994
au81,74,1.382539034,1.406988025
au81,74,1.212903976,1.685387611
au81,74,1.128086329,1.824587584
au81,73,1.742398024,1.942178965
au81,72,0.515629292,0.16382283
au81,72,0.26101616,-0.258178532
au81,74,0.949492633,1.041457772
au81,71,-0.075297303,-0.773209989
au81,82,0.619180918,2.65978694
au81,93,0.574263811,-0.484329998
au81,83,-0.580081463,-0.289777249
au81,51,-0.446336478,-0.563558042
au81,91,0.142689198,-0.641499996
be00,11,-0.570638001,-0.418199986
be00,12,-0.650581717,-0.130879998
be00,13,-1.445287943,-0.458799988
be00,21,-0.727476418,1.308184028
be00,22,-0.909958124,-0.589510024
be00,23,-1.465365052,-0.703190029
be00,24,-0.635716379,0.426382989
be00,31,-0.292395711,0.075538002
be00,32,-0.226255,-0.584529996
be00,33,-1.368631959,-0.648140013
be00,34,-0.33859539,0.313463002
be00,41,2.410058022,0.622610986
be00,42,1.555783033,-0.055739999
be00,51,-0.497650087,-0.77658999
be00,52,0.169350505,-0.730080009
be00,61,0.144009098,-0.840810001
be00,71,-0.075297303,-0.773209989
be00,72,0.582644522,-0.26800999
be00,73,1.742398024,1.942178965
be00,74,1.382539034,1.406988025
be00,81,0.445600986,1.870820045
be00,82,0.619180918,2.65978694
be00,83,-1.417865038,-0.840810001
be00,91,0.142689198,-0.641499996
be00,92,0.380368501,-0.840810001
be00,93,0.574263811,-0.484329998
be95,11,-0.570638001,-0.418199986
be95,12,-0.650581717,-0.130879998
be95,13,-1.445287943,-0.458799988
be95,21,-0.727476418,1.308184028
be95,22,-0.909958124,-0.589510024
be95,23,-1.465365052,-0.703190029
be95,24,-0.635716379,0.426382989
be95,31,-0.292395711,0.075538002
be95,32,-0.226255,-0.584529996
be95,33,-1.368631959,-0.648140013
be95,34,-0.33859539,0.313463002
be95,41,2.410058022,0.622610986
be95,42,1.555783033,-0.055739999
be95,51,-0.497650087,-0.77658999
be95,52,0.169350505,-0.730080009
be95,61,0.144009098,-0.840810001
be95,71,-0.075297303,-0.773209989
be95,72,0.582644522,-0.26800999
be95,73,1.742398024,1.942178965
be95,74,1.382539034,1.406988025
be95,81,0.445600986,1.870820045
be95,82,0.619180918,2.65978694
be95,83,-1.417865038,-0.840810001
be95,91,0.142689198,-0.641499996
be95,92,0.380368501,-0.840810001
be95,93,0.574263811,-0.484329998
be97,11,-0.570638001,-0.418199986
be97,12,-0.650581717,-0.130879998
be97,13,-1.445287943,-0.458799988
be97,21,-0.727476418,1.308184028
be97,22,-0.909958124,-0.589510024
be97,23,-1.465365052,-0.703190029
be97,24,-0.635716379,0.426382989
be97,31,-0.292395711,0.075538002
be97,32,-0.226255,-0.584529996
be97,33,-1.368631959,-0.648140013
be97,34,-0.33859539,0.313463002
be97,41,2.410058022,0.622610986
be97,42,1.555783033,-0.055739999
be97,51,-0.497650087,-0.77658999
be97,52,0.169350505,-0.730080009
be97,61,0.144009098,-0.840810001
be97,71,-0.075297303,-0.773209989
be97,72,0.582644522,-0.26800999
be97,73,1.742398024,1.942178965
be97,74,1.382539034,1.406988025
be97,81,0.445600986,1.870820045
be97,82,0.619180918,2.65978694
be97,83,-1.417865038,-0.840810001
be97,91,0.142689198,-0.641499996
be97,92,0.380368501,-0.840810001
be97,93,0.574263811,-0.484329998
br06,11,-0.570638001,-0.418199986
br06,12,-0.650581717,-0.130879998
br06,13,-1.445287943,-0.458799988
br06,22,-0.909958124,-0.589510024
br06,21,-0.727476418,1.308184028
br06,31,-0.292395711,0.075538002
br06,32,-0.226255,-0.584529996
br06,23,-1.465365052,-0.703190029
br06,24,-0.635716379,0.426382989
br06,34,-0.33859539,0.313463002
br06,24,-0.561436117,0.398152977
br06,33,-1.368631959,-0.648140013
br06,41,2.410058022,0.622610986
br06,52,0.169350505,-0.730080009
br06,42,1.555783033,-0.055739999
br06,91,0.142689198,-0.641499996
br06,51,-0.497650087,-0.77658999
br06,61,0.144009098,-0.840810001
br06,92,0.380368501,-0.840810001
br06,83,-1.417865038,-0.840810001
br06,71,-0.075297303,-0.773209989
br06,81,0.445600986,1.870820045
br06,93,0.574263811,-0.484329998
br06,72,0.582644522,-0.26800999
br06,82,0.619180918,2.65978694
br06,73,1.742398024,1.942178965
br06,74,1.382539034,1.406988025
br09,11,-0.570638001,-0.418199986
br09,12,-0.650581717,-0.130879998
br09,13,-1.445287943,-0.458799988
br09,22,-0.909958124,-0.589510024
br09,21,-0.727476418,1.308184028
br09,31,-0.292395711,0.075538002
br09,32,-0.226255,-0.584529996
br09,23,-1.465365052,-0.703190029
br09,24,-0.635716379,0.426382989
br09,34,-0.33859539,0.313463002
br09,24,-0.561436117,0.398152977
br09,33,-1.368631959,-0.648140013
br09,41,2.410058022,0.622610986
br09,52,0.169350505,-0.730080009
br09,42,1.555783033,-0.055739999
br09,91,0.142689198,-0.641499996
br09,51,-0.497650087,-0.77658999
br09,61,0.144009098,-0.840810001
br09,92,0.380368501,-0.840810001
br09,83,-1.417865038,-0.840810001
br09,71,-0.075297303,-0.773209989
br09,81,0.445600986,1.870820045
br09,93,0.574263811,-0.484329998
br09,72,0.582644522,-0.26800999
br09,82,0.619180918,2.65978694
br09,73,1.742398024,1.942178965
br09,74,1.382539034,1.406988025
br11,11,-0.570638001,-0.418199986
br11,12,-0.650581717,-0.130879998
br11,13,-1.445287943,-0.458799988
br11,22,-0.909958124,-0.589510024
br11,21,-0.727476418,1.308184028
br11,31,-0.292395711,0.075538002
br11,32,-0.226255,-0.584529996
br11,23,-1.465365052,-0.703190029
br11,24,-0.635716379,0.426382989
br11,34,-0.33859539,0.313463002
br11,24,-0.561436117,0.398152977
br11,33,-1.368631959,-0.648140013
br11,41,2.410058022,0.622610986
br11,52,0.169350505,-0.730080009
br11,42,1.555783033,-0.055739999
br11,91,0.142689198,-0.641499996
br11,51,-0.497650087,-0.77658999
br11,61,0.144009098,-0.840810001
br11,92,0.380368501,-0.840810001
br11,83,-1.417865038,-0.840810001
br11,71,-0.075297303,-0.773209989
br11,81,0.445600986,1.870820045
br11,93,0.574263811,-0.484329998
br11,72,0.582644522,-0.26800999
br11,82,0.619180918,2.65978694
br11,73,1.742398024,1.942178965
br11,74,1.382539034,1.406988025
br13,11,-0.570638001,-0.418199986
br13,12,-0.650581717,-0.130879998
br13,13,-1.445287943,-0.458799988
br13,22,-0.909958124,-0.589510024
br13,21,-0.727476418,1.308184028
br13,31,-0.292395711,0.075538002
br13,32,-0.226255,-0.584529996
br13,23,-1.465365052,-0.703190029
br13,24,-0.635716379,0.426382989
br13,34,-0.33859539,0.313463002
br13,24,-0.561436117,0.398152977
br13,33,-1.368631959,-0.648140013
br13,41,2.410058022,0.622610986
br13,52,0.169350505,-0.730080009
br13,42,1.555783033,-0.055739999
br13,91,0.142689198,-0.641499996
br13,51,-0.497650087,-0.77658999
br13,61,0.144009098,-0.840810001
br13,92,0.380368501,-0.840810001
br13,83,-1.417865038,-0.840810001
br13,71,-0.075297303,-0.773209989
br13,81,0.445600986,1.870820045
br13,93,0.574263811,-0.484329998
br13,72,0.582644522,-0.26800999
br13,82,0.619180918,2.65978694
br13,73,1.742398024,1.942178965
br13,74,1.382539034,1.406988025
ca00,24,-0.635716379,0.426382989
ca00,34,-0.284932733,0.368277878
ca00,41,1.993675113,0.500944316
ca00,22,-0.590896666,-0.587185979
ca00,32,-0.220165402,-0.356447875
ca00,23,-1.33302474,-0.533958137
ca00,34,-0.33859539,0.313463002
ca00,52,0.631494641,-0.505299985
ca00,51,-0.497650087,-0.77658999
ca00,71,-0.075297303,-0.773209989
ca00,72,0.572703183,0.172390744
ca00,83,-0.948123276,-0.390337884
ca00,93,0.574263811,-0.484329998
ca00,82,0.611659169,2.205685616
ca04,24,-0.635716379,0.426382989
ca04,34,-0.284932733,0.368277878
ca04,41,1.993675113,0.500944316
ca04,22,-0.590896666,-0.587185979
ca04,32,-0.220165402,-0.356447875
ca04,23,-1.33302474,-0.533958137
ca04,34,-0.33859539,0.313463002
ca04,52,0.631494641,-0.505299985
ca04,51,-0.497650087,-0.77658999
ca04,71,-0.075297303,-0.773209989
ca04,72,0.572703183,0.172390744
ca04,83,-0.948123276,-0.390337884
ca04,93,0.574263811,-0.484329998
ca04,82,0.611659169,2.205685616
ca07,24,-0.635716379,0.426382989
ca07,34,-0.284932733,0.368277878
ca07,41,1.993675113,0.500944316
ca07,22,-0.590896666,-0.587185979
ca07,32,-0.220165402,-0.356447875
ca07,23,-1.33302474,-0.533958137
ca07,34,-0.33859539,0.313463002
ca07,52,0.631494641,-0.505299985
ca07,51,-0.497650087,-0.77658999
ca07,71,-0.075297303,-0.773209989
ca07,72,0.572703183,0.172390744
ca07,83,-0.948123276,-0.390337884
ca07,93,0.574263811,-0.484329998
ca07,82,0.611659169,2.205685616
ca10,24,-0.635716379,0.426382989
ca10,34,-0.284932733,0.368277878
ca10,41,1.993675113,0.500944316
ca10,22,-0.590896666,-0.587185979
ca10,32,-0.220165402,-0.356447875
ca10,23,-1.33302474,-0.533958137
ca10,34,-0.33859539,0.313463002
ca10,52,0.631494641,-0.505299985
ca10,51,-0.497650087,-0.77658999
ca10,71,-0.075297303,-0.773209989
ca10,72,0.572703183,0.172390744
ca10,83,-0.948123276,-0.390337884
ca10,93,0.574263811,-0.484329998
ca10,82,0.611659169,2.205685616
ca94,12,-0.650581717,-0.130879998
ca94,24,-0.528976142,0.349088848
ca94,21,-0.697564363,0.629842341
ca94,21,-0.727476418,1.308184028
ca94,31,-0.416704476,0.427722573
ca94,24,-0.332630217,0.419497222
ca94,22,-0.909958124,-0.589510024
ca94,32,-0.408054292,-0.633375049
ca94,32,-0.130199313,-0.264374584
ca94,23,-1.465365052,-0.703190029
ca94,23,-1.441181779,-0.689427495
ca94,41,2.410058022,0.622610986
ca94,34,-0.33859539,0.313463002
ca94,51,-0.213054895,-0.716549993
ca94,91,0.142689198,-0.641499996
ca94,61,0.222795561,-0.840810061
ca94,61,0.131582677,-0.519695997
ca94,82,0.804405808,1.953572631
ca94,72,0.593605399,0.610329092
ca94,82,0.798897624,2.01616621
ca94,72,0.589786708,0.374355346
ca94,74,1.144204497,1.550609469
ca94,72,1.004373074,0.535695195
ca94,83,-0.564095557,-0.688032866
ca94,71,0.088140562,-0.673950016
ca94,83,-1.417865038,-0.840810001
ca94,93,-0.311126709,-0.642765522
ca97,12,-0.650581717,-0.130879998
ca97,24,-0.528976142,0.349088848
ca97,21,-0.697564363,0.629842341
ca97,21,-0.727476418,1.308184028
ca97,31,-0.416704476,0.427722573
ca97,24,-0.332630217,0.419497222
ca97,22,-0.909958124,-0.589510024
ca97,32,-0.408054292,-0.633375049
ca97,32,-0.130199313,-0.264374584
ca97,23,-1.465365052,-0.703190029
ca97,23,-1.441181779,-0.689427495
ca97,41,2.410058022,0.622610986
ca97,34,-0.33859539,0.313463002
ca97,51,-0.213054895,-0.716549993
ca97,91,0.142689198,-0.641499996
ca97,61,0.222795561,-0.840810061
ca97,61,0.131582677,-0.519695997
ca97,82,0.804405808,1.953572631
ca97,72,0.593605399,0.610329092
ca97,82,0.798897624,2.01616621
ca97,72,0.589786708,0.374355346
ca97,74,1.144204497,1.550609469
ca97,72,1.004373074,0.535695195
ca97,83,-0.564095557,-0.688032866
ca97,71,0.088140562,-0.673950016
ca97,83,-1.417865038,-0.840810001
ca97,93,-0.311126709,-0.642765522
ca98,24,-0.635716379,0.426382989
ca98,34,-0.284932733,0.368277878
ca98,41,1.993675113,0.500944316
ca98,22,-0.590896666,-0.587185979
ca98,32,-0.220165402,-0.356447875
ca98,23,-1.33302474,-0.533958137
ca98,34,-0.33859539,0.313463002
ca98,52,0.631494641,-0.505299985
ca98,51,-0.497650087,-0.77658999
ca98,71,-0.075297303,-0.773209989
ca98,72,0.572703183,0.172390744
ca98,83,-0.948123276,-0.390337884
ca98,93,0.574263811,-0.484329998
ca98,82,0.611659169,2.205685616
ch00,11,-0.570638001,-0.418199986
ch00,12,-0.650581717,-0.130879998
ch00,13,-1.445287943,-0.458799988
ch00,21,-0.727476418,1.308184028
ch00,22,-0.909958124,-0.589510024
ch00,23,-1.465365052,-0.703190029
ch00,24,-0.635716379,0.426382989
ch00,31,-0.292395711,0.075538002
ch00,32,-0.226255,-0.584529996
ch00,33,-1.368631959,-0.648140013
ch00,34,-0.33859539,0.313463002
ch00,41,2.410058022,0.622610986
ch00,42,1.555783033,-0.055739999
ch00,51,-0.497650087,-0.77658999
ch00,52,0.169350505,-0.730080009
ch00,61,0.144009098,-0.840810001
ch00,71,-0.075297303,-0.773209989
ch00,72,0.582644522,-0.26800999
ch00,73,1.742398024,1.942178965
ch00,74,1.382539034,1.406988025
ch00,81,0.445600986,1.870820045
ch00,82,0.619180918,2.65978694
ch00,83,-1.417865038,-0.840810001
ch00,91,0.142689198,-0.641499996
ch00,92,0.380368501,-0.840810001
ch00,93,0.574263811,-0.484329998
ch02,11,-0.570638001,-0.418199986
ch02,12,-0.650581717,-0.130879998
ch02,13,-1.445287943,-0.458799988
ch02,21,-0.727476418,1.308184028
ch02,22,-0.909958124,-0.589510024
ch02,23,-1.465365052,-0.703190029
ch02,24,-0.635716379,0.426382989
ch02,31,-0.292395711,0.075538002
ch02,32,-0.226255,-0.584529996
ch02,33,-1.368631959,-0.648140013
ch02,34,-0.33859539,0.313463002
ch02,41,2.410058022,0.622610986
ch02,42,1.555783033,-0.055739999
ch02,51,-0.497650087,-0.77658999
ch02,52,0.169350505,-0.730080009
ch02,61,0.144009098,-0.840810001
ch02,71,-0.075297303,-0.773209989
ch02,72,0.582644522,-0.26800999
ch02,73,1.742398024,1.942178965
ch02,74,1.382539034,1.406988025
ch02,81,0.445600986,1.870820045
ch02,82,0.619180918,2.65978694
ch02,83,-1.417865038,-0.840810001
ch02,91,0.142689198,-0.641499996
ch02,92,0.380368501,-0.840810001
ch02,93,0.574263811,-0.484329998
ch07,11,-0.570638001,-0.418199986
ch07,12,-0.650581717,-0.130879998
ch07,13,-1.445287943,-0.458799988
ch07,21,-0.727476418,1.308184028
ch07,22,-0.909958124,-0.589510024
ch07,23,-1.465365052,-0.703190029
ch07,24,-0.635716379,0.426382989
ch07,31,-0.292395711,0.075538002
ch07,32,-0.226255,-0.584529996
ch07,33,-1.368631959,-0.648140013
ch07,34,-0.33859539,0.313463002
ch07,41,2.410058022,0.622610986
ch07,42,1.555783033,-0.055739999
ch07,51,-0.497650087,-0.77658999
ch07,52,0.169350505,-0.730080009
ch07,61,0.144009098,-0.840810001
ch07,71,-0.075297303,-0.773209989
ch07,72,0.582644522,-0.26800999
ch07,73,1.742398024,1.942178965
ch07,74,1.382539034,1.406988025
ch07,81,0.445600986,1.870820045
ch07,82,0.619180918,2.65978694
ch07,83,-1.417865038,-0.840810001
ch07,91,0.142689198,-0.641499996
ch07,92,0.380368501,-0.840810001
ch07,93,0.574263811,-0.484329998
ch10,11,-0.570638001,-0.418199986
ch10,12,-0.960517168,-0.258768797
ch10,12,-0.999920905,-0.29612416
ch10,13,-1.095617175,-0.314515203
ch10,21,-0.707578123,0.878190994
ch10,23,-1.433443069,-0.685023546
ch10,24,-0.635716379,0.426382989
ch10,21,-0.727476418,1.308184028
ch10,24,-0.576886833,0.38150847
ch10,32,-0.130610496,-0.379270196
ch10,34,0.6392169,0.398213625
ch10,34,-0.477829933,0.042295229
ch10,31,-0.292395711,0.075538002
ch10,41,2.410058022,0.622610986
ch10,42,1.555783033,-0.055739999
ch10,51,-0.497650087,-0.77658999
ch10,52,0.147510603,-0.644398987
ch10,61,-0.444030821,-0.699466288
ch10,61,-0.491709709,-0.688006043
ch10,71,-0.075297303,-0.773209989
ch10,72,0.582644522,-0.26800999
ch10,73,1.579696059,1.939013004
ch10,74,1.07208097,1.050317883
ch10,82,0.577062488,2.251911402
ch10,82,0.619180918,2.65978694
ch10,83,-1.417865038,-0.840810001
ch10,91,0.142689198,-0.641499996
ch10,92,0.380368501,-0.840810001
ch10,93,0.574263811,-0.484329998
ch13,11,-0.570638001,-0.418199986
ch13,12,-0.960517168,-0.258768797
ch13,12,-0.999920905,-0.29612416
ch13,13,-1.095617175,-0.314515203
ch13,21,-0.707578123,0.878190994
ch13,23,-1.433443069,-0.685023546
ch13,24,-0.635716379,0.426382989
ch13,21,-0.727476418,1.308184028
ch13,24,-0.576886833,0.38150847
ch13,32,-0.130610496,-0.379270196
ch13,34,0.6392169,0.398213625
ch13,34,-0.477829933,0.042295229
ch13,31,-0.292395711,0.075538002
ch13,41,2.410058022,0.622610986
ch13,42,1.555783033,-0.055739999
ch13,51,-0.497650087,-0.77658999
ch13,52,0.147510603,-0.644398987
ch13,61,-0.444030821,-0.699466288
ch13,61,-0.491709709,-0.688006043
ch13,71,-0.075297303,-0.773209989
ch13,72,0.582644522,-0.26800999
ch13,73,1.579696059,1.939013004
ch13,74,1.07208097,1.050317883
ch13,82,0.577062488,2.251911402
ch13,82,0.619180918,2.65978694
ch13,83,-1.417865038,-0.840810001
ch13,91,0.142689198,-0.641499996
ch13,92,0.380368501,-0.840810001
ch13,93,0.574263811,-0.484329998
ch92,61,0.144009098,-0.840810001
ch92,61,0.05144307,-0.776739955
ch92,82,0.946334362,2.122873068
ch92,82,0.619180918,2.65978694
ch92,74,1.382539034,1.406988025
ch92,71,-0.075297303,-0.773209989
ch92,73,1.742398024,1.942178965
ch92,81,0.479861856,1.336112499
ch92,82,0.587715447,1.596191883
ch92,72,0.582644522,-0.26800999
ch92,21,-0.727476418,1.308184028
ch92,31,-0.292395711,0.075538002
ch92,34,-0.33859539,0.313463002
ch92,24,-0.635716379,0.426382989
ch92,42,0.871305406,-0.296023309
ch92,24,-0.536676049,0.388742983
ch92,34,0.404288352,0.417922407
ch92,21,-0.618706226,1.000022531
ch92,83,-1.206927776,-0.744041204
ch92,83,-1.405556798,-0.792642474
ch92,42,1.555783033,-0.055739999
ch92,24,0.125727236,0.475439966
ch92,31,-0.357315809,0.173666358
ch92,34,-0.457443774,0.358631015
ch92,51,-0.497650087,-0.77658999
ch92,91,-0.070757218,-0.686529994
ch92,32,-0.285705268,-0.37565738
ch92,32,-0.342567176,-0.666841388
ch92,23,-1.465365052,-0.703190029
ch92,33,-1.368631959,-0.648140013
ch92,21,-0.681942105,0.766697168
ch92,93,0.574263811,-0.484329998
co04,31,-0.292395711,0.075538002
co04,22,-0.663825035,-0.587717175
co04,22,-0.622802794,-0.587418437
co04,32,-0.420998931,-0.552920997
co04,24,-0.635716379,0.426382989
co04,23,-1.304752231,-0.591148078
co04,24,-0.504909515,0.308246344
co04,34,-0.479728788,0.310809106
co04,34,-0.33859539,0.313463002
co04,24,-0.593310058,0.232772723
co04,11,-0.570638001,-0.418199986
co04,12,-0.750648439,-0.217013597
co04,12,-0.650581717,-0.130879998
co04,41,2.410058022,0.622610986
co04,42,1.198070288,0.16604799
co04,31,0.599413991,0.256072074
co04,51,-0.497650087,-0.77658999
co04,41,1.661826253,0.205454364
co04,41,1.841700912,0.414405197
co04,13,-1.246611476,-0.376819998
co04,34,-0.441550881,0.16682981
co04,52,0.157886147,-0.691990614
co04,52,0.169350505,-0.730080009
co04,13,-1.445287943,-0.458799988
co04,91,-0.113446519,-0.695536017
co04,91,0.142689198,-0.641499996
co04,82,0.619180918,2.65978694
co04,51,-0.451601714,-0.419981092
co04,13,-0.920819879,-0.584863305
co04,61,0.051838532,-0.806429148
co04,92,0.380368501,-0.840810001
co04,61,0.18397902,-0.808920383
co04,61,0.144009098,-0.840810001
co04,71,0.096599132,0.099319935
co04,81,0.490367681,1.521950722
co04,81,0.445600986,1.870820045
co04,74,1.382539034,1.406988025
co04,82,0.886356235,2.221307278
co04,71,-0.075297303,-0.773209989
co04,72,0.582644522,-0.26800999
co04,72,0.728815138,0.508647859
co04,72,0.408288509,-0.14091225
